
CAPPROD mensa                                                            capprod2         BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 18:31:17 18:34:28       17,22      17,22 SBT_TAPE                    3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
suzano POSEIDON                                                         cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 06:14:39 06:14:40           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
suzano POSEIDON                                                         cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:14:36 06:14:39         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
suzano POSEIDON                                                         cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:14:34 06:14:36         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
suzano POSEIDON                                                         cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:06 06:14:34        2,49      12,55 DISK                       14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           


aricanduva vmcidonia                                                        CNHPROD          BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 22:18:29 22:18:54         ,14        ,44 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
aricanduva vmcidonia                                                        CNHPROD          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 22:18:27 22:18:28           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
aricanduva vmcidonia                                                        CNHPROD          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 22:18:25 22:18:27         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
aricanduva vmcidonia                                                        CNHPROD          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 22:18:22 22:18:25         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
aricanduva vmcidonia                                                        CNHPROD          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 22:10:05 22:18:22        2,04       9,53 DISK                        8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       


taboaoserra ARISTEU                                                          cnhprod          BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 22:05:01 22:12:22        1,81       6,07 DISK                        7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
taboaoserra ARISTEU                                                          cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 22:04:56 22:04:58           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
taboaoserra ARISTEU                                                          cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 22:04:52 22:04:56         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
taboaoserra ARISTEU                                                          cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 22:04:48 22:04:52         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
taboaoserra ARISTEU                                                          cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 22:00:03 22:04:48         ,44      14,93 DISK                        5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      


não há linhas selecionadas

ERROR:
ORA-12170: TNS:Ocorreu timeout da conexão 


Advertência: Você não está mais conectado ao ORACLE.
SP2-0640: Não conectado

não há linhas selecionadas


recreio VLDRECSRV01                                                      cnhprod          BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 12:04:32 12:06:45         ,43       1,33 DISK                        2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
recreio VLDRECSRV01                                                      cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 12:04:16 12:04:18           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
recreio VLDRECSRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 12:04:13 12:04:16         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
recreio VLDRECSRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 12:04:11 12:04:13         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
recreio VLDRECSRV01                                                      cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 12:00:10 12:04:11          ,7      12,36 DISK                        4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          


não há linhas selecionadas


não há linhas selecionadas


não há linhas selecionadas


df ALCER                                                            cnhprod          BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 21:04:20 21:06:19       11,38      11,38 DISK                        2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
df ALCER                                                            cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 21:04:15 21:04:16           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
df ALCER                                                            cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 21:04:13 21:04:15         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
df ALCER                                                            cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 21:04:10 21:04:13         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
df ALCER                                                            cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 21:00:22 21:04:10       20,83      58,68 DISK                        4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               


rac_go aries.cnhgo.local                                                CNHGO1           BACKUP                            ARCHIVELOG    FAILED                  07/05/2017 08/05/2017 23:41:21 01:28:56       52,03      85,01 DISK                      108                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
rac_go aries.cnhgo.local                                                CNHGO1           BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 23:41:08 23:41:09           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
rac_go aries.cnhgo.local                                                CNHGO1           BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 23:41:05 23:41:08         ,09        ,09 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
rac_go aries.cnhgo.local                                                CNHGO1           BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 23:41:02 23:41:05         ,09        ,09 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
rac_go aries.cnhgo.local                                                CNHGO1           BACKUP                            INCR          FAILED                  07/05/2017 08/05/2017 23:00:04 00:17:21       34,97     376,59 DISK                       77                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           


não há linhas selecionadas

ERROR:
ORA-12170: TNS:Ocorreu timeout da conexão 


Advertência: Você não está mais conectado ao ORACLE.
SP2-0640: Não conectado
ERROR:
ORA-12170: TNS:Ocorreu timeout da conexão 


SP2-0640: Não conectado

não há linhas selecionadas


não há linhas selecionadas


não há linhas selecionadas


icom vmhercules.si-caju.abnote.com.br                                 BIMAGEM          CF_SPFILE_AUTOBACKUP              AUTOMATICO    COMPLETED               08/05/2017 08/05/2017 10:45:37 10:45:38         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
icom vmhercules.si-caju.abnote.com.br                                 BIMAGEM          BACKUP                            ARCHIVELOG    COMPLETED               08/05/2017 08/05/2017 10:44:56 10:45:38         ,24        ,49 DISK                        1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
icom vmhercules.si-caju.abnote.com.br                                 BIMAGEM          CF_SPFILE_AUTOBACKUP              AUTOMATICO    COMPLETED               08/05/2017 08/05/2017 10:44:52 10:44:53         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
icom vmhercules.si-caju.abnote.com.br                                 BIMAGEM          BACKUP                            SPFILE        COMPLETED               08/05/2017 08/05/2017 10:44:51 10:44:54         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
icom vmhercules.si-caju.abnote.com.br                                 BIMAGEM          BACKUP                            CONTROLFILE   COMPLETED               08/05/2017 08/05/2017 10:44:49 10:44:51           0        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
icom vmhercules.si-caju.abnote.com.br                                 BIMAGEM          BACKUP                            CONTROLFILE   COMPLETED               08/05/2017 08/05/2017 10:44:47 10:44:49           0        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
icom vmhercules.si-caju.abnote.com.br                                 BIMAGEM          BACKUP                            INCR          COMPLETED               07/05/2017 08/05/2017 21:37:09 10:44:47      277,53     662,88 DISK                      788                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

7 linhas selecionadas.


bimagem vmhercules.si-caju.abnote.com.br                                 BIMAGEM          CF_SPFILE_AUTOBACKUP              AUTOMATICO    COMPLETED               08/05/2017 08/05/2017 10:45:37 10:45:38         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
bimagem vmhercules.si-caju.abnote.com.br                                 BIMAGEM          BACKUP                            ARCHIVELOG    COMPLETED               08/05/2017 08/05/2017 10:44:56 10:45:38         ,24        ,49 DISK                        1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
bimagem vmhercules.si-caju.abnote.com.br                                 BIMAGEM          CF_SPFILE_AUTOBACKUP              AUTOMATICO    COMPLETED               08/05/2017 08/05/2017 10:44:52 10:44:53         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
bimagem vmhercules.si-caju.abnote.com.br                                 BIMAGEM          BACKUP                            SPFILE        COMPLETED               08/05/2017 08/05/2017 10:44:51 10:44:54         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
bimagem vmhercules.si-caju.abnote.com.br                                 BIMAGEM          BACKUP                            CONTROLFILE   COMPLETED               08/05/2017 08/05/2017 10:44:49 10:44:51           0        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
bimagem vmhercules.si-caju.abnote.com.br                                 BIMAGEM          BACKUP                            CONTROLFILE   COMPLETED               08/05/2017 08/05/2017 10:44:47 10:44:49           0        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
bimagem vmhercules.si-caju.abnote.com.br                                 BIMAGEM          BACKUP                            INCR          COMPLETED               07/05/2017 08/05/2017 21:37:09 10:44:47      277,53     662,88 DISK                      788                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          

7 linhas selecionadas.


não há linhas selecionadas


maranhao vmeros                                                           CNHPROD          BACKUP                            INCR          FAILED                  07/05/2017 08/05/2017 23:00:06 01:11:05       46,35     314,74 DISK                      131                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         

